BioSample	Runs	Assembly_Method	Country	Exact	Iso2	UN	Lineage	Per_Mis	sample_lon	sample_lat	precision	NearPost	NearPost_lon	NearPost_lat	Level2	Level1
ERS153838	ERR211991	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	33.4958	-11.4005003	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS153982	ERR212131	reference guided alignment	Malawi	NA	MW	Eastern-Africa	1	13.1	33.3596992	-11.1007996	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS217639	ERR233351	reference guided alignment	Ethiopia	Filtu	ET	Eastern-Africa	1	14.4	40.65	5.11	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS217641	ERR233353	reference guided alignment	Ethiopia	Negelle	ET	Eastern-Africa	1	14.2	38.67	7.36	Exact	Addis Ababa	38.7444992	9.0335999	Northeast Tropical Africa	Africa
ERS218215	ERR234164	reference guided alignment	Uganda	NA	UG	Eastern-Africa	1	13.2	34.0623016	1.28066	Random	Addis Ababa	38.7444992	9.0335999	East Tropical Africa	Africa
ERS218216	ERR234165	reference guided alignment	Tanzania	NA	TZ	Eastern-Africa	1	13.4	37.290699	-4.0026798	Random	Kilwa	39.522778	-8.957778	East Tropical Africa	Africa
ERS218323	ERR234272	reference guided alignment	Somalia	NA	SO	Eastern-Africa	1	13.3	46.3950005	3.2037399	Random	Mogadishu	45.34922	2.03785	Northeast Tropical Africa	Africa
ERS217644	ERR233356	reference guided alignment	China	NA	CN	Eastern-Asia	1	13.2	102.8059998	38.3773994	Random	Liangzhou	102.800003	37.966667	China	Asia-Temperate
ERS217652	ERR233364	reference guided alignment	China	NA	CN	Eastern-Asia	1	14	83.3035965	44.6355019	Random	loc03-tmc020218	82.8333	44.6501	China	Asia-Temperate
ERS218313	ERR234262	reference guided alignment	China	NA	CN	Eastern-Asia	1	13.4	109.7320023	35.3128014	Random	Zhongbu	109.8286	35.5856	China	Asia-Temperate
SRS490604	"SRR1019186,SRR1011511"	reference guided alignment	Taiwan	NA	TW	Eastern-Asia	1	13.2	121.276001	22.9437008	Random	Taipei	121.516098	25.04744	Eastern Asia	Asia-Temperate
SRS490607	"SRR1019190,SRR1011516"	reference guided alignment	Taiwan	NA	TW	Eastern-Asia	1	13.4	120.9300003	23.6380997	Random	Taipei	121.516098	25.04744	Eastern Asia	Asia-Temperate
AOMG02	AOMG00000000.2	multiple genome alignment	Malaysia	Selangor	MY	South-Eastern-Asia	1	18	101.52	3.07	Exact	Kadaram	102.962616	2.5490005	Malesia	Asia-Tropical
ATNF01	ATNF00000000.1	multiple genome alignment	Thailand	Bangkok	TH	South-Eastern-Asia	1	17.8	100.5	13.76	Exact	loc06-tmc020719	101.366669	14.05	Indo-China	Asia-Tropical
ERS217633	ERR238746	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	1	18.9	103.8740005	21.0084991	Random	loc34-tmc060201	102.7478	23.1542	Indo-China	Asia-Tropical
ERS217651	ERR233363	reference guided alignment	Cambodia	NA	KH	South-Eastern-Asia	1	14.2	105.064003	13.3292999	Random	Preak Khan of Kompong Svay	104.75	13.4	Indo-China	Asia-Tropical
ERS217653	ERR233365	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	1	16	107.4680023	21.4244995	Random	Nanning	108.3167	22.8167	Indo-China	Asia-Tropical
ERS217660	ERR233372	reference guided alignment	Malaysia	NA	MY	South-Eastern-Asia	1	13.3	101.0510025	4.3353901	Random	Trengganu	103.138321	5.33129	Malesia	Asia-Tropical
ERS218206	ERR234155	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	1	13.2	102.5670013	11.6735001	Random	loc07-tmc020719	103.449997	12.766667	Indo-China	Asia-Tropical
ERS218207	ERR234156	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	1	13.2	100.3160019	19.7415009	Random	Jinghong	100.8167	21.9833	Indo-China	Asia-Tropical
ERS218208	ERR234157	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	1	13.5	102.810997	22.2495003	Random	loc34-tmc060201	102.7478	23.1542	Indo-China	Asia-Tropical
ERS218236	ERR234185	reference guided alignment	Singapore	NA	SG	South-Eastern-Asia	1	14.3	103.7460022	1.4310499	Random	Kadaram	102.962616	2.5490005	Malesia	Asia-Tropical
ERS218258	ERR234207	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	1	13.3	104.7450027	22.3733006	Random	Weimo	104.2469	23.7992	Indo-China	Asia-Tropical
ERS218265	ERR234214	reference guided alignment	Thailand	NA	TH	South-Eastern-Asia	1	13.9	99.0837021	14.8889999	Random	loc06-tmc020719	101.366669	14.05	Indo-China	Asia-Tropical
ERS218275	ERR234224	reference guided alignment	The Philippines	NA	PH	South-Eastern-Asia	1	15.9	121.2300034	14.9647999	Random	Manilla	120.983681	14.58743	Malesia	Asia-Tropical
ERS218289	ERR234238	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	1	18.9	108.9710007	14.5256996	Random	Da Nang	108.221	16.0678	Indo-China	Asia-Tropical
ERS218291	ERR234240	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	1	17.1	104.7139969	10.2349005	Random	Oc Eo	105.083344	10.016667	Indo-China	Asia-Tropical
ERS218292	ERR234241	reference guided alignment	Vietnam	NA	VN	South-Eastern-Asia	1	14.2	105.7269974	21.7709999	Random	Weimo	104.2469	23.7992	Indo-China	Asia-Tropical
ERS218315	ERR234264	reference guided alignment	The Philippines	NA	PH	South-Eastern-Asia	1	13.3	124.0199966	7.7966099	Random	Manilla	120.983681	14.58743	Malesia	Asia-Tropical
ERS218317	ERR234266	reference guided alignment	The Philippines	NA	PH	South-Eastern-Asia	1	13.3	125.4899979	9.7081299	Random	Manilla	120.983681	14.58743	Malesia	Asia-Tropical
ALYG01	ALYG00000000.1	multiple genome alignment	India	Orissa	IN	Southern-Asia	1	18	85.1	20.95	Exact	Cuttack	85.8333	20.5	Indo-China	Asia-Tropical
ERS217662	ERR233374	reference guided alignment	Sri Lanka	NA	LK	Southern-Asia	1	13.2	81.1231995	7.26719	Random	sealoc19-tmc050418	80.323	10.1589	Indian Subcontinent	Asia-Tropical
ERS217664	ERR233376	reference guided alignment	Nepal	NA	NP	Southern-Asia	1	13.7	86.4994965	27.1679993	Random	loc40-tmc040220	86.716667	27.700001	Indian Subcontinent	Asia-Tropical
ERS217665	ERR233377	reference guided alignment	Nepal	NA	NP	Southern-Asia	1	13.2	80.707901	28.9988003	Random	loc22-tmc040220	81.599998	30.700001	Indian Subcontinent	Asia-Tropical
ERS217668	ERR233380	reference guided alignment	Nepal	NA	NP	Southern-Asia	1	13.2	87.7216034	26.5792999	Random	Gangtok	88.616669	27.333332	Indian Subcontinent	Asia-Tropical
ERS218220	ERR234169	reference guided alignment	India	NA	IN	Southern-Asia	1	15.2	76.6551971	12.3683004	Random	Mangalore	74.8833	12.8667	Indo-China	Asia-Tropical
ERS218242	ERR234191	reference guided alignment	Sri Lanka	NA	LK	Southern-Asia	1	13.1	80.3098984	8.0388699	Random	sealoc19-tmc050418	80.323	10.1589	Indian Subcontinent	Asia-Tropical
ERS218248	ERR234197	reference guided alignment	Afghanistan	NA	AF	Southern-Asia	1	13.3	61.4006004	35.3353996	Random	loc05-tmc010512	62.2	34.333	Western Asia	Asia-Temperate
ERS218286	ERR234235	reference guided alignment	India	NA	IN	Southern-Asia	1	15.8	93.9357986	24.2019997	Random	Dacca	90.367	23.717	Indo-China	Asia-Tropical
ERS218288	ERR234237	reference guided alignment	India	NA	IN	Southern-Asia	1	13.5	78.9660034	18.3306007	Random	Haidarabad	78.433	17.367	Indo-China	Asia-Tropical
ERS611795	ERR688020	reference guided alignment	Pakistan	NA	PK	Southern-Asia	1	13.2	66.6761017	29.9199009	Random	Qandahar	65.717	31.617	Indian Subcontinent	Asia-Tropical
ERS611799	ERR688024	reference guided alignment	Pakistan	NA	PK	Southern-Asia	1	13.1	71.8908997	33.9091988	Random	Charsadda	71.73333	34.150002	Indian Subcontinent	Asia-Tropical
ERS611813	ERR688038	reference guided alignment	Pakistan	NA	PK	Southern-Asia	1	13.1	72.7683029	30.0953999	Random	loc06-tmc010512	71.48333	30.183332	Indian Subcontinent	Asia-Tropical
JMEK01	JMEK00000000.1	multiple genome alignment	India	"Sakoli, Bhandara, Maharashtra"	IN	Southern-Asia	1	17.8	80	21.08	Exact	Handiya	76.98333	22.483334	Indo-China	Asia-Tropical
JMIM01	JMIM00000000.1	multiple genome alignment	India	Chennai	IN	Southern-Asia	1	17.8	80.27	13.08	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
JMJH01	JMJH00000000.1	multiple genome alignment	India	Chennai	IN	Southern-Asia	1	17.8	80.27	13.08	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
JNVI02	JNVI00000000.2	multiple genome alignment	India	Chennai	IN	Southern-Asia	1	17.8	80.27	13.08	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
JQGH01	JQGH00000000.1 	multiple genome alignment	India	Chennai	IN	Southern-Asia	1	17.8	80.27	13.08	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS557806	"SRR1169488,SRR1183033,SRR1180217,SRR1172309"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.3	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS557855	"SRR1172226,SRR1169563,SRR1180160,SRR1182980"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS557872	"SRR1180224,SRR1172022,SRR1183159,SRR1169586"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.2	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559605	"SRR1173036,SRR1172709"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.2	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559606	SRR1172710	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.7	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559664	"SRR1175088,SRR1172787"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559665	"SRR1172788,SRR1175027"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559695	"SRR1172900,SRR1172828"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.2	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559720	"SRR1172860,SRR1172872"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559736	"SRR1175036,SRR1172881"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559747	"SRR1172905,SRR1175116"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559754	"SRR1172915,SRR1175053"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559766	"SRR1175155,SRR1172942"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559772	"SRR1172950,SRR1175123"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559777	"SRR1175071,SRR1172955"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559783	"SRR1172965,SRR1173489"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559811	"SRR1173198,SRR1173010"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559817	"SRR1173136,SRR1173031"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559825	"SRR1173043,SRR1173178"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559850	"SRR1173611,SRR1173098"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS559867	"SRR1173129,SRR1173673"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.1	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
SRS560015	"SRR1173787,SRR1173551"	reference guided alignment	India	Tiruvallur	IN	Southern-Asia	1	13.2	79.89	13.14	Exact	Madras	80.2833	13.0833	Indo-China	Asia-Tropical
ERS218233	ERR234182	reference guided alignment	Serbia	NA	RS	Southern-Europe	1	13.2	21.3882008	43.719799	Random	loc40-tmc051117	22.1158	44.4756	Southeastern Europe	Europe
ERS218245	ERR234194	reference guided alignment	Burkina Faso	NA	BF	Western-Africa	1	13.4	-4.0591102	12.0165997	Random	Bamako	-7.983	12.667	West Tropical Africa	Africa
ERS218256	ERR234205	reference guided alignment	Ghana	NA	GH	Western-Africa	1	13.2	-2.0507901	6.8919702	Random	Bamako	-7.983	12.667	West Tropical Africa	Africa
SRS485067	"SRR998721,SRR998720,SRR998722"	reference guided alignment	Mali	Point G Hospital	ML	Western-Africa	1	13.1	-8	12.67	Exact	Bamako	-7.983	12.667	West Tropical Africa	Africa
ERS456774	"ERR550659,ERR550658"	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.3	59.9291992	42.3973999	Random	loc02-tmc010201	59.166668	42.316666	Middle Asia	Asia-Temperate
ERS456825	ERR550724	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.4	64.8302002	38.7685013	Random	frk02-tmc010202	63.566666	39.099998	Middle Asia	Asia-Temperate
ERS456865	ERR550778	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.5	62.5738983	41.2471008	Random	Khiva	60.366669	41.400002	Middle Asia	Asia-Temperate
ERS456867	"ERR550783,ERR550782"	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.3	60.0979004	37.0615997	Random	loc03-tmc010512	59.59861	36.305	Middle Asia	Asia-Temperate
ERS456944	ERR550887	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.7	64.1194	41.6990013	Random	loc16-tmc040123	64.683334	40.099998	Middle Asia	Asia-Temperate
ERS457011	ERR550984	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.3	63.5735016	36.2285004	Random	Merv	62.166668	37.616669	Middle Asia	Asia-Temperate
ERS457145	ERR551159	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.3	64.4121017	41.5775986	Random	loc16-tmc040123	64.683334	40.099998	Middle Asia	Asia-Temperate
ERS457153	"ERR551167,ERR551168"	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.4	64.3887024	37.6405983	Random	frk02-tmc010202	63.566666	39.099998	Middle Asia	Asia-Temperate
ERS457174	ERR551201	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.3	64.3792038	36.9402008	Random	loc09-tmc040922	66.5983	37.3925	Middle Asia	Asia-Temperate
ERS457242	ERR551293	reference guided alignment	Kazakhstan	NA	KZ	Central-Asia	2	13.3	65.3797989	52.4082985	Random	loc08-tmc050418	61.6667	46.8	Middle Asia	Asia-Temperate
ERS457251	ERR551305	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.7	66.3061981	40.4791985	Random	loc15-tmc040123	65.366669	40.150002	Middle Asia	Asia-Temperate
ERS457289	"ERR551360,ERR551361"	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.4	71.2994003	40.5424995	Random	Kokand	70.949997	40.5	Middle Asia	Asia-Temperate
ERS457384	ERR551494	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.5	60.2835999	36.7141991	Random	loc03-tmc010512	59.59861	36.305	Middle Asia	Asia-Temperate
ERS457427	ERR551556	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.7	66.3805008	38.4043999	Random	loc09-tmc040922	66.5983	37.3925	Middle Asia	Asia-Temperate
ERS457487	ERR551636	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.5	65.4779968	38.0987015	Random	loc09-tmc040922	66.5983	37.3925	Middle Asia	Asia-Temperate
ERS457488	ERR551638	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.7	67.992897	40.5919991	Random	loc14-tmc040123	67.833336	40.099998	Middle Asia	Asia-Temperate
ERS457584	ERR551772	reference guided alignment	Kazakhstan	NA	KZ	Central-Asia	2	14.6	65.2099991	51.1573982	Random	loc08-tmc050418	61.6667	46.8	Middle Asia	Asia-Temperate
ERS457607	"ERR551805,ERR551804"	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.4	68.7212982	40.8795013	Random	loc10-tmc010512	69.050003	40.799999	Middle Asia	Asia-Temperate
ERS457618	"ERR551821,ERR551822"	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.3	65.6401978	41.5409012	Random	loc15-tmc040123	65.366669	40.150002	Middle Asia	Asia-Temperate
ERS457664	ERR551879	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.4	62.5924988	37.8563004	Random	Merv	62.166668	37.616669	Middle Asia	Asia-Temperate
ERS457709	"ERR551945,ERR551944"	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.3	67.810997	40.774601	Random	loc14-tmc040123	67.833336	40.099998	Middle Asia	Asia-Temperate
ERS457995	ERR552358	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.5	59.9673004	42.3406982	Random	loc02-tmc010201	59.166668	42.316666	Middle Asia	Asia-Temperate
ERS458078	ERR552479	reference guided alignment	Kazakhstan	NA	KZ	Central-Asia	2	13.4	66.8423004	52.7731018	Random	loc08-tmc050418	61.6667	46.8	Middle Asia	Asia-Temperate
ERS458089	"ERR552493,ERR552494"	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.3	59.405201	37.3060989	Random	loc03-tmc010512	59.59861	36.305	Middle Asia	Asia-Temperate
ERS458146	ERR552580	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.3	66.9782028	40.7930984	Random	loc14-tmc040123	67.833336	40.099998	Middle Asia	Asia-Temperate
ERS458286	ERR552760	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.5	63.4174004	38.8268013	Random	frk02-tmc010202	63.566666	39.099998	Middle Asia	Asia-Temperate
ERS458394	ERR552907	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.6	67.2693024	39.3213005	Random	Pendgikent	67.616669	39.483334	Middle Asia	Asia-Temperate
ERS458395	"ERR552910,ERR552911"	reference guided alignment	Turkmenistan	NA	TM	Central-Asia	2	13.3	61.2462997	37.3448982	Random	Merv	62.166668	37.616669	Middle Asia	Asia-Temperate
ERS458418	"ERR552940,ERR552939"	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.5	66.4742966	38.8947983	Random	Samarkand	66.95	39.667	Middle Asia	Asia-Temperate
ERS458515	ERR553068	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.5	62.3302994	41.3945007	Random	Khiva	60.366669	41.400002	Middle Asia	Asia-Temperate
ERS458536	ERR553098	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.4	66.7249985	39.5032005	Random	Samarkand	66.95	39.667	Middle Asia	Asia-Temperate
ERS458568	ERR553139	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.7	65.2442017	40.7293015	Random	loc15-tmc040123	65.366669	40.150002	Middle Asia	Asia-Temperate
ERS458650	ERR553251	reference guided alignment	Uzbekistan	NA	UZ	Central-Asia	2	13.4	66.709198	38.0387993	Random	loc09-tmc040922	66.5983	37.3925	Middle Asia	Asia-Temperate
ERS019949	ERR245692	reference guided alignment	Malawi	NA	MW	Eastern-Africa	2	13.5	33.4202995	-11.6304998	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS023476	ERR038746	reference guided alignment	Uganda	Kampala	UG	Eastern-Africa	2	13.6	32.58	0.35	Exact	Addis Ababa	38.7444992	9.0335999	East Tropical Africa	Africa
ERS141674	ERR176606	reference guided alignment	Malawi	NA	MW	Eastern-Africa	2	13.4	34.3186989	-14.0445995	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS142685	ERR190369	reference guided alignment	Malawi	NA	MW	Eastern-Africa	2	13.4	34.1292	-14.3919001	Random	Kilwa	39.522778	-8.957778	South Tropical Africa	Africa
ERS456995	ERR550957	reference guided alignment	Zimbabwe	NA	ZW	Eastern-Africa	2	13.4	29.8008995	-20.9265995	Random	Maputo	32.6102982	-25.8679008	South Tropical Africa	Africa
ERS458528	ERR553086	reference guided alignment	Kenya	NA	KE	Eastern-Africa	2	13.3	38.0185013	-3.6009099	Random	Kilwa	39.522778	-8.957778	East Tropical Africa	Africa
ERS217647	ERR233359	reference guided alignment	South Korea	NA	KR	Eastern-Asia	2	14.5	127.5490036	36.9347992	Random	loc01-tmc060201	121.9669	39.3953	Eastern Asia	Asia-Temperate
ERS218149	ERR234098	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.5	128.0359955	43.1104012	Random	Kaiyuan	124.0817	42.5975	China	Asia-Temperate
ERS218154	ERR234103	reference guided alignment	China	NA	CN	Eastern-Asia	2	17.1	105.2870026	37.9476013	Random	Ningxia	106.2731	38.4681	China	Asia-Temperate
ERS218159	ERR234108	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.3	114.5400009	37.3919983	Random	Neiqiu	114.5133	37.2947	China	Asia-Temperate
ERS218165	ERR234114	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.6	108.75	33.7529984	Random	Changan	108.935547	34.260277	China	Asia-Temperate
ERS218167	ERR234116	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.6	125.2170029	45.9121017	Random	Kaiyuan	124.0817	42.5975	China	Asia-Temperate
ERS218179	ERR234128	reference guided alignment	China	NA	CN	Eastern-Asia	2	15	110.0579987	33.5410995	Random	Huaxian	109.7572	34.5142	China	Asia-Temperate
ERS218183	ERR234132	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.5	117.6920013	46.1250992	Random	Kaipingwei	115.7211	41.3089	China	Asia-Temperate
ERS218184	ERR234133	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.4	109.2910004	24.8358002	Random	Liuzhou	109.4033	24.3169	China	Asia-Temperate
ERS218189	ERR234138	reference guided alignment	China	NA	CN	Eastern-Asia	2	14.1	126.8850021	44.5035019	Random	Kaiyuan	124.0817	42.5975	China	Asia-Temperate
ERS218299	ERR234248	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.6	96.3332977	41.6484985	Random	loc13-tmc020218	95.5	41.099998	China	Asia-Temperate
ERS218303	ERR234252	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.6	129.326004	44.7086983	Random	Kaiyuan	124.0817	42.5975	China	Asia-Temperate
ERS218304	ERR234253	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.5	87.9690018	45.0863991	Random	Ganhezi	88.216667	44.150002	China	Asia-Temperate
ERS218320	ERR234269	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.4	127.697998	49.1889	Random	Kaiyuan	124.0817	42.5975	China	Asia-Temperate
ERS218321	ERR234270	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.4	102.5680008	38.9031982	Random	Yongchang	102.116669	38.283333	China	Asia-Temperate
ERS456971	ERR550927	reference guided alignment	China	NA	CN	Eastern-Asia	2	13.5	95.5792999	43.6169014	Random	loc06-tmc020218	95.24	43.25	China	Asia-Temperate
ERS457866	ERR552177	reference guided alignment	South Korea	NA	KR	Eastern-Asia	2	13.4	128.0980072	35.4308014	Random	Jinzhou	121.7167	39.1	Eastern Asia	Asia-Temperate
